GAME,RATIO,GAMERS,COMP %,TIME,RATING,ADDED,True_Achievement,Game_Score
Moonlighter,4.11,"24,977",1.1,25-30 hours,3.8,16 Dec 19,4108,1000
Ring of Pain,5.65,"9,858",0.5,60-80 hours,3.8,14 Oct 21,6609,1170
Star Wars Battlefront,3.16,"277,795",0.7,60-80 hours,3.8,09 Nov 20,5348,1690
Killer Instinct,5.85,"241,912",0.1,80-100 hours,3.7,21 Oct 20,28862,4935
Outriders,2.14,"168,156",1.4,40-50 hours,3.7,31 Mar 21,2240,1045
My Friend Pedro,5.41,"81,841",0.6,15-20 hours,3.7,18 Nov 21,5409,1000
MotoGP 20,2.50,"8,324",5.7,40-50 hours,3.7,17 Dec 20,2499,1000
Need for Speed Hot Pursuit Remastered,4.15,"65,439",1.9,30-35 hours,3.7,24 Jun 21,4152,1000
World War Z,4.07,"148,401",0.7,150-200 hours,3.7,16 Dec 19,4068,1000
Sea of Thieves,9.38,"344,597",0.0,1000+ hours,3.7,18 Dec 19,35638,3800
Yakuza 3 Remastered,3.16,"11,017",3.1,80-100 hours,3.7,28 Jan 21,3164,1000
My Time at Portia,3.30,"44,112",2.3,80-100 hours,3.7,16 Dec 19,3303,1000
Brütal Legend,2.73,"113,058",1.8,40-50 hours,3.7,08 Oct 20,2971,1090
Day of the Tentacle Remastered,1.40,"33,225",40.1,2-3 hours,3.7,29 Oct 20,1401,1000
Omno,1.54,"35,403",31.9,3-4 hours,3.7,15 Jul 21,1537,1000
Record of Lodoss War -Deedlit in Wonder Labyrinth-,3.23,"18,573",4.1,8-10 hours,3.7,15 Dec 21,3231,1000
Zuma's Revenge!,1.68,"32,855",3.7,15-20 hours,3.7,09 Nov 20,673,400
NHL 21,3.66,"23,860",0.3,150-200 hours,3.7,12 Apr 21,3663,1000
Dicey Dungeons,4.12,"11,235",1.9,40-50 hours,3.7,11 Nov 21,4122,1000
Battlefield V,2.56,"180,707",1.8,40-50 hours,3.7,09 Nov 20,2560,1000
Supraland,2.91,"34,917",5.3,20-25 hours,3.7,13 Oct 20,2914,1000
The Gunk,1.59,"62,395",11.0,6-8 hours,3.7,15 Dec 21,1591,1000
Mighty Goose,2.06,"13,423",11.6,5-6 hours,3.7,30 Sep 21,2061,1000
The Walking Dead: Michonne,1.04,"71,357",84.7,1-2 hours,3.7,18 Dec 19,1038,1000
Viva Piñata: Trouble In Paradise,2.18,"44,019",6.3,25-30 hours,3.7,16 Dec 19,2177,1000
GRID,3.07,"23,287",0.6,200-300 hours,3.7,10 Aug 21,4034,1315
Crysis 3,2.92,"116,583",0.8,20-25 hours,3.7,09 Nov 20,3644,1250
Battlefield Hardline,6.04,"200,741",0.1,50-60 hours,3.7,09 Nov 20,11774,1950
Among Us,2.57,"79,755",2.1,4-5 hours,3.7,14 Dec 21,2568,1000
FAR: Changing Tides,4.25,"16,437",1.3,8-10 hours,3.7,13 Mar 22,4248,1000
Costume Quest 2,1.38,"49,547",30.4,8-10 hours,3.7,16 Dec 19,1379,1000
Mirror's Edge Catalyst,3.09,"101,423",2.6,25-30 hours,3.7,09 Nov 20,3093,1000
Myst,1.83,"16,597",8.6,6-8 hours,3.7,26 Aug 21,1831,1000
ReCore,3.43,"162,987",1.4,40-50 hours,3.7,16 Dec 19,5145,1500
The Ascent,2.84,"111,762",2.3,20-25 hours,3.7,29 Jul 21,2843,1000
Curse of the Dead Gods,9.12,"25,972",0.1,60-80 hours,3.7,05 Aug 21,9122,1000
"Yes, Your Grace",2.35,"20,321",3.4,12-15 hours,3.7,01 Dec 20,2345,1000
Fight Night Champion,11.35,"84,000",0.0,,3.6,09 Nov 20,13053,1150
"Warhammer 40,000: Battlesector",3.36,"10,781",2.1,20-25 hours,3.6,17 Nov 21,3358,1000
Flynn: Son of Crimson,2.36,"16,188",12.6,6-8 hours,3.6,15 Sep 21,2357,1000
Battletoads,3.88,"101,070",0.3,15-20 hours,3.6,20 Aug 20,3880,1000
Steep,4.99,"90,919",0.3,30-35 hours,3.6,06 May 21,6983,1400
Sable,1.94,"9,736",13.2,15-20 hours,3.6,23 Sep 21,1936,1000
Need for Speed Heat,3.01,"123,299",2.4,30-35 hours,3.6,09 Nov 20,3011,1000
Subnautica: Below Zero,1.74,"41,620",23.0,0.5-1 hour,3.6,23 Sep 21,1744,1000
Echo Generation,2.03,"16,168",13.9,6-8 hours,3.6,21 Oct 21,2025,1000
Knockout City,3.88,"52,268",0.8,60-80 hours,3.6,17 May 21,3882,1000
Young Souls,3.16,"11,265",4.7,6-8 hours,3.6,10 Mar 22,3159,1000
Sea of Solitude,1.82,"30,992",14.9,5-6 hours,3.6,09 Nov 20,1818,1000
Super Lucky's Tale,2.51,"111,416",2.1,8-10 hours,3.6,01 Sep 20,5028,2000
Windjammers 2,6.16,"10,064",0.3,20-25 hours,3.6,11 Jan 22,6159,1000
Gears of War: Judgment,2.80,"221,067",1.1,50-60 hours,3.6,16 Dec 19,4198,1500
Undertale,2.20,"53,348",13.0,4-5 hours,3.6,16 Mar 21,2205,1000
Full Throttle Remastered,1.27,"36,596",46.5,2-3 hours,3.6,29 Oct 20,1272,1000
skate.,2.68,"73,561",2.6,20-25 hours,3.6,05 Aug 21,2683,1000
Bejeweled 3,2.96,"52,890",3.7,12-15 hours,3.6,09 Nov 20,593,200
Boyfriend Dungeon,1.72,"12,310",10.8,6-8 hours,3.6,11 Aug 21,1716,1000
NHL 20,3.11,"22,764",0.4,80-100 hours,3.6,09 Nov 20,3106,1000
DiRT Rally,6.24,"50,243",0.5,60-80 hours,3.6,10 Aug 21,6241,1000
Gorogoa,1.68,"31,296",10.0,1-2 hours,3.6,04 Jan 22,1684,1000
Tom Clancy's Rainbow Six Extraction,3.74,"100,187",1.2,60-80 hours,3.6,16 Jan 22,3737,1000
RAGE 2,3.17,"108,746",0.5,25-30 hours,3.6,16 Dec 19,4544,1435
Neoverse,3.79,"3,635",2.0,50-60 hours,3.6,17 Dec 20,3788,1000
Broken Age,2.96,"9,915",4.1,8-10 hours,3.6,15 Dec 21,2961,1000
Crackdown 3: Campaign,3.61,"156,604",1.6,25-30 hours,3.6,17 Dec 19,6318,1750
Evil Genius 2: World Domination,8.20,"31,909",0.1,120-150 hours,3.6,12 Oct 21,8198,1000
Donut County,1.30,"104,448",48.4,1-2 hours,3.6,20 Jan 21,1302,1000
EA SPORTS UFC 3,5.07,"87,677",0.1,100-120 hours,3.6,09 Nov 20,5066,1000
Worms W.M.D.,7.22,"62,768",0.2,40-50 hours,3.6,16 Dec 19,7217,1000
Bridge Constructor Portal,2.32,"31,372",1.7,15-20 hours,3.6,18 Oct 20,2717,1170
Tainted Grail: Conquest,3.49,"8,876",2.0,25-30 hours,3.6,22 Mar 22,3492,1000
DOOM 64,1.42,"55,971",39.2,1-2 hours,3.6,12 Mar 21,1418,1000
Astroneer,3.68,"96,424",1.5,60-80 hours,3.6,16 Dec 19,3957,1075
Twelve Minutes,1.69,"62,794",21.2,2-3 hours,3.6,17 Aug 21,1691,1000
Spelunky 2,12.46,"27,710",0.2,80-100 hours,3.6,13 Jan 22,12463,1000
Viva Piñata,1.93,"143,160",9.7,40-50 hours,3.6,16 Dec 19,1934,1000
Tell Me Why,1.37,"72,734",12.5,2-3 hours,3.6,28 Sep 20,2060,1500
Subnautica,1.75,"154,110",25.1,1-2 hours,3.5,16 Dec 19,1747,1000
Human Fall Flat,3.48,"218,760",1.3,8-10 hours,3.5,13 Dec 18,7931,2280
Need for Speed Payback,2.89,"99,911",1.4,40-50 hours,3.5,09 Nov 20,3614,1250
Contrast,1.40,"27,602",37.8,3-4 hours,3.5,03 Feb 22,1396,1000
Dodgeball Academia,1.85,"17,010",15.7,6-8 hours,3.5,05 Aug 21,1853,1000
MechWarrior 5: Mercenaries,3.07,"11,667",1.6,60-80 hours,3.5,27 May 21,3074,1000
SSX,5.28,"151,364",1.1,35-40 hours,3.5,09 Nov 20,5283,1000
Star Wars: Squadrons,8.52,"78,201",0.2,60-80 hours,3.5,18 Mar 21,8520,1000
Last Stop,1.58,"26,704",19.2,6-8 hours,3.5,22 Jul 21,1576,1000
Visage,3.81,"36,716",3.1,10-12 hours,3.5,07 Oct 21,3807,1000
Back 4 Blood,4.11,"191,301",0.2,150-200 hours,3.5,24 Sep 21,4604,1120
Moonglow Bay,3.05,"4,060",2.9,40-50 hours,3.5,26 Oct 21,3050,1000
NBA 2K22,4.24,"18,528",0.0,,3.5,28 Apr 22,4241,1000
Aliens: Fireteam Elite,5.48,"66,336",0.4,200-300 hours,3.5,14 Dec 21,5485,1000
Breathedge,4.92,"23,600",0.7,25-30 hours,3.5,09 Sep 21,4923,1000
Bloodroots,2.79,"25,183",5.2,6-8 hours,3.5,15 Jul 21,2787,1000
Aragami 2,3.93,"49,711",2.7,20-25 hours,3.5,17 Sep 21,3930,1000
Killer Instinct 2 Classic,2.11,"8,149",8.3,15-20 hours,3.5,18 Dec 19,2111,1000
